order_id,payment_id,gross_amount,settled_amount,fee,tax,net_amount,sub_paise_drift,status,settled_at
ord_in_1074,pay_rzp_800074,1299.5,1299.5,25.99,4.68,1268.83,0.0018,MATCHED,2026-08-08 16:02:00
ord_in_1075,pay_rzp_800075,1599.0,1599.0,31.98,5.76,1561.26,0.0036,MATCHED,2026-08-08 18:15:00
ord_in_1076,pay_rzp_800076,2499.0,2499.0,49.98,9.0,2440.02,0.0036,MATCHED,2026-08-08 20:28:00
ord_in_1078,pay_rzp_800078,5490.0,5490.0,109.8,19.76,5360.44,-0.004,MATCHED,2026-08-09 00:54:00
ord_in_1079,pay_rzp_800079,899.0,899.0,17.98,3.24,877.78,0.0036,MATCHED,2026-08-09 02:07:00
ord_in_1080,pay_rzp_800080,999.0,999.0,19.98,3.6,975.42,0.0036,MATCHED,2026-08-09 04:20:00
ord_in_1081,pay_rzp_800081,1499.0,1499.0,29.98,5.4,1463.62,0.0036,MATCHED,2026-08-09 06:33:00
ord_in_1082,pay_rzp_800082,4500.0,4500.0,90.0,16.2,4393.8,0.0,MATCHED,2026-08-09 08:46:00
ord_in_1083,pay_rzp_800083,3999.0,3999.0,79.98,14.4,3904.62,0.0036,MATCHED,2026-08-09 10:59:00
ord_in_1084,pay_rzp_800084,499.0,499.0,9.98,1.8,487.22,0.0036,MATCHED,2026-08-09 12:12:00
ord_in_1086,pay_rzp_800086,1299.5,1299.5,25.99,4.68,1268.83,0.0018,MATCHED,2026-08-09 16:38:00
ord_in_1087,pay_rzp_800087,1599.0,1599.0,31.98,5.76,1561.26,0.0036,MATCHED,2026-08-09 18:51:00
ord_in_1088,pay_rzp_800088,2499.0,2499.0,49.98,9.0,2440.02,0.0036,MATCHED,2026-08-09 20:04:00
ord_in_1089,pay_rzp_800089,12500.0,12500.0,250.0,45.0,12205.0,0.0,MATCHED,2026-08-09 22:17:00
ord_in_1090,pay_rzp_800090,5490.0,5490.0,109.8,19.76,5360.44,-0.004,MATCHED,2026-08-10 00:30:00
ord_in_1092,pay_rzp_800092,999.0,999.0,19.98,3.6,975.42,0.0036,MATCHED,2026-08-10 04:56:00
ord_in_1093,pay_rzp_800093,1499.0,1499.0,29.98,5.4,1463.62,0.0036,MATCHED,2026-08-10 06:09:00
ord_in_1094,pay_rzp_800094,4500.0,4500.0,90.0,16.2,4393.8,0.0,MATCHED,2026-08-10 08:22:00
ord_in_1095,pay_rzp_800095,3999.0,3999.0,79.98,14.4,3904.62,0.0036,MATCHED,2026-08-10 10:35:00
ord_in_1096,pay_rzp_800096,499.0,499.0,9.98,1.8,487.22,0.0036,MATCHED,2026-08-10 12:48:00
ord_in_1097,pay_rzp_800097,7999.0,7999.0,159.98,28.8,7810.22,0.0036,MATCHED,2026-08-10 14:01:00
ord_in_1100,pay_rzp_800100,2499.0,2499.0,49.98,9.0,2440.02,0.0036,MATCHED,2026-08-10 20:40:00
